variable_name,description,data_type,unit,source,
YEAR,Year data was collected,string,YYYY,All datasets,
MO,Month data was collected,integer,MM,Kaggle Chicago Weather Database, 
DY,Day data was collected,integer,DD,Kaggle Chicago Weather Database, 
HR,Hour data was collected,integer,HH,Kaggle Chicago Weather Database, 
TEMP,Temperature at collection,float,degrees Celsius,Kaggle Chicago Weather Database, 
PRCP,Precipitation at collection,float,mm/day,Kaggle Chicago Weather Database, 
HMDT,Humidity at collection,float,percent (%),Kaggle Chicago Weather Database, 
WND_SPD,Wind speed at collection,float,miles per hour (mph),Kaggle Chicago Weather Database, 
ATM_PRESS,Atmospheric Pressure at collection,float,millibars (mb),Kaggle Chicago Weather Database, 
REF,Reference key combining year and month,integer,YYYYMM,Kaggle Chicago Weather Database, 
